,Année d'atteinte,Augmentation catastrophes (%),Réduction CO2 nécessaire (%)
+1.5°C (tendance actuelle),1987.8049576145147,22.499999999999996,30.0
+2.0°C (tendance actuelle),1997.073276819353,30.0,40.0
+3.0°C (tendance actuelle),2015.6099152290294,44.99999999999999,60.0
+1.5°C (avec Mobilité douce),1988.0650736758498,22.499999999999996,30.0
+2.0°C (avec Mobilité douce),1997.4200982344664,30.0,40.0
+3.0°C (avec Mobilité douce),2016.1301473516996,44.99999999999999,60.0
+1.5°C (avec Reforestation),1987.960445414441,22.499999999999996,30.0
+2.0°C (avec Reforestation),1997.2805938859215,30.0,40.0
+3.0°C (avec Reforestation),2015.920890828882,44.99999999999999,60.0
+1.5°C (avec Sobriété énergétique),1988.1704879183717,22.499999999999996,30.0
+2.0°C (avec Sobriété énergétique),1997.560650557829,30.0,40.0
+3.0°C (avec Sobriété énergétique),2016.3409758367434,44.99999999999999,60.0
